context,CPP,Energy,H1A1c,H1A2c,H1A3c,H1H2c,H2H4c,H2KH5Kc,H42Kc,HNR05,HNR15,HNR25,HNR35,SHR,soe,Z1mnZ0,Z2mnZ1,Z3mnZ2,Z4mnZ3,F0Bark,A1mnA2,A1mnA3,A2mnA3
Guttural,27.2765,3.635833333,12.69066667,13.93316667,7.320666667,1.216,4.962666667,11.007,7.730833333,30.751,42.49066667,40.24883333,36.76233333,0.509333333,0.053833333,3.222460364,9.442806954,2.41424527,1.332846373,1.017336604,1.242333333,-5.37,-6.612333333
Guttural,27.3795,3.656666667,13.509,10.09216667,3.168833333,1.579833333,5.676166667,18.381,2.868833333,28.25133333,41.01533333,38.95116667,34.7155,0.452666667,0.0505,3.014826069,9.7635204,2.252852228,0.700910323,1.0158342,-3.416333333,-10.33966667,-6.923333333
Guttural,28.56266667,3.3165,14.94516667,12.15183333,3.007166667,1.6685,5.854166667,11.93466667,10.19116667,30.97966667,42.73983333,41.84616667,38.486,0.459833333,0.045833333,3.189354087,9.486243761,2.358075523,0.926947097,0.971152693,-2.7935,-11.938,-9.1445
Non-Guttural,27.435,4.662,12.66816667,7.6655,-3.137666667,-1.8245,5.4585,16.68083333,8.479833333,26.75233333,42.6085,40.4085,35.08916667,0.115,0.0545,2.753433961,10.04946308,2.154657718,0.902713503,1.040689799,-5.002333333,-15.8055,-10.80316667
Non-Guttural,29.59383333,3.762833333,11.57433333,7.884666667,-0.846833333,-1.1865,5.892666667,20.98483333,4.972666667,32.30066667,49.45916667,47.23116667,41.98233333,0.783666667,0.058166667,2.870706701,9.988809422,2.110267062,0.818037012,1.019197207,-3.69,-12.42133333,-8.731333333
Non-Guttural,26.18616667,3.032333333,13.792,11.1285,6.4665,0.136,8.593333333,16.8195,8.2605,25.92283333,42.09533333,40.67683333,36.69766667,0.4345,0.0515,2.831843988,10.08946742,2.100102455,0.960232658,0.961817113,-2.663333333,-7.325333333,-4.662
Non-Guttural,29.05316667,5.169333333,10.33966667,3.377666667,2.195666667,-3.43,5.25,20.48383333,9.473,24.60316667,39.23816667,38.395,35.25216667,0.373,0.063833333,2.648780434,10.08977873,1.786717183,0.984069867,1.057779312,-6.962166667,-8.144333333,-1.182166667
Non-Guttural,27.093,3.857666667,9.550666667,1.066166667,-0.803166667,-3.1935,5.0355,25.831,6.7535,25.03116667,40.53366667,38.37033333,33.6425,0.172,0.052666667,2.57499498,10.32123976,1.857275033,0.789734085,1.041439375,-8.484666667,-10.35383333,-1.869166667
Non-Guttural,25.2935,2.758833333,12.6345,4.015833333,2.71,-1.848666667,6.2725,24.39933333,6.540666667,20.2545,35.307,34.88666667,31.43966667,0.457833333,0.054,2.54478056,10.37108897,1.763145493,0.853557923,0.982714017,-8.618666667,-9.924333333,-1.305666667
Guttural,28.33483333,5.217833333,11.89233333,9.054833333,5.095666667,-1.3275,7.417666667,23.66183333,3.1615,25.76633333,38.38133333,36.26016667,33.017,0.3625,0.058,2.997912419,9.160825946,2.29602418,1.040679863,1.051416176,-2.837166667,-6.796666667,-3.9595
Guttural,27.6675,7.346,9.847166667,9.948166667,4.836,-0.5085,6.8035,24.099,3.757833333,24.32066667,35.506,34.207,31.386,0.5285,0.055666667,3.195141891,8.835512293,2.205524512,1.225209558,1.028916947,0.100666667,-5.011833333,-5.1125
Guttural,25.61316667,21.56333333,17.94316667,17.311,-5.218333333,1.711166667,1.098833333,25.80166667,-3.2725,10.872,7.294333333,13.1,14.20416667,0.425666667,0.044833333,5.212503272,2.925460591,6.411918585,0.78737313,1.098940182,-0.632166667,-23.1615,-22.52933333
Guttural,22.82933333,12.97866667,19.18433333,19.51366667,-2.856833333,3.46,1.610833333,24.74783333,2.365166667,18.01216667,15.303,21.277,19.15966667,0.317,0.050166667,5.046222864,3.239174328,6.167187471,1.39140651,1.032592367,0.329333333,-22.0415,-22.37083333
Non-Guttural,28.3285,12.1165,14.467,10.857,3.2095,0.07,5.028166667,21.52733333,0.848833333,26.01016667,26.2575,27.6845,26.113,0.525166667,0.045166667,4.655643146,5.461284037,4.001340735,1.629341128,1.04710686,-3.610333333,-11.25783333,-7.6475
Non-Guttural,24.34316667,11.69116667,13.87016667,12.93483333,6.137833333,0.375666667,4.832333333,18.39266667,3.513166667,22.09416667,22.8335,24.9635,23.65,0.445,0.04,4.587117537,5.493303459,4.050017213,1.723653722,1.027326676,-0.9355,-7.7325,-6.797
Non-Guttural,24.46416667,10.88733333,15.57066667,9.909833333,9.255666667,1.413833333,3.4165,18.95583333,3.570333333,22.85133333,24.79516667,25.853,24.72333333,0.549,0.043333333,4.604328346,5.737288879,3.764557218,1.809579858,1.015436232,-5.660666667,-6.314666667,-0.654
Guttural,28.46233333,18.69033333,13.35483333,17.494,-2.092666667,1.817,0.641333333,20.969,0.253833333,27.93633333,26.423,31.97516667,29.74566667,0.5405,0.044166667,4.698100603,3.582175549,6.194887543,1.457514582,1.027132969,4.139166667,-15.44733333,-19.5865
Guttural,27.53633333,17.93883333,15.59066667,17.878,0.717833333,1.885666667,2.908333333,24.767,0.857833333,28.92783333,27.56033333,33.67633333,30.99233333,0.576166667,0.049,4.705396489,3.595551344,6.189492147,1.34993599,0.978578585,2.2875,-14.87283333,-17.16033333
Guttural,26.28583333,18.13833333,15.39533333,19.78766667,-0.998666667,-0.566166667,3.987333333,28.37116667,0.392833333,16.63616667,16.48933333,25.45733333,25.373,0.436833333,0.048166667,4.570257719,3.327928624,6.812532717,1.208910662,0.952383937,4.392166667,-16.394,-20.78616667
Guttural,27.73583333,23.6015,14.10816667,17.988,-11.41216667,0.415166667,0.250333333,23.8055,-0.323833333,28.23916667,25.16516667,31.0145,28.4525,0.6225,0.043666667,4.982637436,2.911764558,6.907330001,1.004551632,0.990788117,3.879833333,-25.52016667,-29.4
Guttural,29.1595,27.76883333,13.65966667,15.77983333,-13.05833333,-0.208666667,0.7095,21.9085,-1.577333333,26.58983333,25.204,32.72016667,31.0655,0.363166667,0.044166667,4.93969227,2.573498347,7.392412838,0.889724025,0.977335288,2.120166667,-26.718,-28.83816667
Guttural,26.4245,20.4065,13.544,19.339,-10.36683333,-1.9435,4.148166667,21.28416667,-2.8045,21.0945,18.52866667,25.72766667,24.88716667,0.385833333,0.045666667,4.815857308,3.00163028,7.070767889,1.262623032,0.950153336,5.794833333,-23.9105,-29.70533333
Guttural,22.493,7.321333333,10.19933333,7.541666667,6.772,-2.126666667,4.515,25.40983333,8.397666667,14.50933333,27.40833333,23.74683333,20.48916667,0.324833333,0.068166667,2.460207193,9.37976586,1.764418138,1.511636842,1.141475477,-2.657833333,-3.427166667,-0.769333333
Guttural,20.588,5.425,10.90716667,12.20433333,7.929166667,-2.5325,7.553,21.68516667,5.763166667,13.76433333,26.6795,25.5395,23.50183333,0.427833333,0.056166667,3.026635642,8.532287405,2.507562813,1.687378133,1.071765625,1.297,-2.978,-4.275
Guttural,25.05133333,5.68,11.13983333,8.217166667,9.134833333,-1.156,8.275166667,26.52983333,4.101666667,21.16716667,35.80866667,33.4845,29.896,0.292833333,0.052,2.954243028,8.937274789,2.209585785,1.287554823,0.969316923,-2.922333333,-2.004833333,0.9175
Guttural,25.03716667,6.080166667,15.766,12.4725,3.1115,-0.762,7.462166667,25.19916667,3.6095,21.32716667,32.83866667,30.53933333,26.6545,0,0.058666667,2.748386285,8.619003826,2.411091912,1.41150122,1.053877228,-3.293166667,-12.65433333,-9.361166667
Guttural,25.14466667,4.166,13.94216667,10.53283333,1.143666667,0.312166667,6.1085,23.59133333,1.899166667,24.34,38.12316667,34.89433333,29.72883333,0,0.052833333,2.576949783,9.318837837,2.47605793,0.92871025,1.019211963,-3.409,-12.79883333,-9.389833333
Guttural,25.99166667,4.398833333,14.70983333,11.32116667,7.3255,0.524,5.827166667,22.17233333,6.007833333,24.92883333,39.81733333,34.969,29.8465,0.314666667,0.0625,2.520048554,9.366285211,2.089779417,1.315528373,0.983094073,-3.389,-7.384666667,-3.995666667
Non-Guttural,26.21266667,5.5585,9.049666667,8.287333333,-4.446,-1.318333333,6.949833333,17.32433333,4.757166667,26.82916667,42.19983333,40.042,34.72116667,0,0.0605,2.248611633,10.52062994,2.354676305,0.723867875,1.046509743,-0.762333333,-13.49566667,-12.73333333
Non-Guttural,25.68183333,4.233333333,9.545666667,9.924833333,-3.244333333,0.598333333,6.156,17.675,5.631,24.59966667,41.2835,39.29566667,33.90783333,0,0.058333333,2.252970743,10.58604507,2.290196582,0.580226607,0.99075337,0.379333333,-12.79016667,-13.1695
Non-Guttural,26.11433333,4.040666667,10.45866667,9.241666667,-3.926833333,0.838833333,7.472,17.864,2.590166667,25.46233333,41.5475,40.236,34.92816667,0,0.063666667,2.139014698,10.77072379,2.298870743,0.726003108,0.960270495,-1.217,-14.3855,-13.1685
Guttural,22.66283333,4.5835,16.99433333,14.97366667,14.7645,-0.021333333,6.1015,21.65933333,9.759,17.2615,27.76283333,25.79366667,24.53,0.294,0.067,2.940487035,8.711771704,2.39257276,0.90686491,1.125219755,-2.020833333,-2.229833333,-0.209
Guttural,25.86283333,9.218666667,11.96866667,9.8875,14.49866667,-0.745166667,10.15433333,21.00383333,3.435166667,15.81816667,27.509,25.47433333,24.1865,0.426333333,0.0635,3.267573863,8.776202584,1.88230169,1.522320543,1.090138705,-2.081166667,2.53,4.611166667
Guttural,22.188,5.157666667,11.69383333,17.86783333,10.87383333,-0.053833333,9.668,12.11333333,8.771166667,16.33683333,28.92383333,28.47183333,27.0705,0.2275,0.0495,3.053819789,9.348495407,2.575498118,1.352407793,0.983421119,6.173833333,-0.820166667,-6.994
Guttural,23.18933333,5.421833333,13.4415,9.0725,9.077666667,-1.557666667,4.157666667,22.9,6.256166667,10.14933333,23.104,21.10866667,20.013,0.497333333,0.059,2.767920595,9.161377649,2.080959272,1.585132795,1.139935136,-4.369,-4.363666667,0.005333333
Guttural,23.76933333,7.711166667,7.921,9.312666667,6.566333333,-1.410833333,8.220833333,21.95566667,1.373666667,16.0215,28.11883333,26.56866667,24.5535,0.258166667,0.048166667,3.15202002,8.52014814,2.473250573,1.651803147,1.01641531,1.391833333,-1.354833333,-2.746666667
Guttural,22.29066667,5.355,9.188333333,11.60883333,10.64683333,-2.014333333,6.9935,24.65233333,5.215166667,13.81333333,26.77433333,24.91816667,23.74216667,0.351333333,0.049,3.03710223,8.09995457,2.543734408,2.219161322,1.039510205,2.420666667,1.458666667,-0.962
Guttural,23.01266667,2.678,16.392,17.61616667,16.69933333,1.443333333,9.507166667,15.649,4.515,17.5115,29.15016667,28.2855,27.92466667,0.353666667,0.061333333,3.136973133,8.951923638,2.366499602,1.480376478,1.077444973,1.224166667,0.307,-0.917166667
Guttural,24.117,5.343,10.62183333,14.18966667,11.85966667,0.346,7.577166667,12.8095,7.664166667,22.57933333,34.29133333,31.68683333,28.7995,0.422166667,0.060833333,3.372685366,8.823202778,2.318397957,1.529581905,1.041791658,3.567833333,1.238,-2.329833333
Guttural,22.01066667,2.025666667,15.9255,18.28566667,11.0775,2.239,8.552166667,14.03533333,4.553666667,17.58983333,29.497,28.394,27.3495,0.5155,0.049333333,3.268813976,8.787927618,2.897905555,1.199943137,0.988009263,2.360333333,-4.848,-7.208333333
Guttural,26.2485,6.040666667,11.62483333,9.844333333,3.392666667,-1.567,8.353166667,29.9015,0.094333333,21.50633333,32.42416667,29.86666667,26.00366667,0.1585,0.066333333,2.676173214,8.887629272,2.481277698,1.378996808,1.075079148,-1.78,-8.2325,-6.4525
Guttural,25.06283333,6.673,11.0325,11.562,2.225,0.187666667,6.799833333,27.71483333,1.433833333,17.5085,28.61883333,27.2125,23.81683333,0.351166667,0.062833333,2.864291677,8.818971335,2.535672667,1.219919915,1.02513572,0.529666667,-8.8075,-9.337166667
Guttural,25.59783333,5.428666667,13.10583333,14.6495,0.853,0.664833333,9.062,23.9135,2.167166667,20.484,31.804,30.45233333,27.0275,0.554,0.051,3.017135469,8.606498524,2.711448165,1.061236148,0.987454326,1.5435,-12.25266667,-13.79616667
Non-Guttural,24.88983333,6.653666667,9.065333333,16.56916667,6.808666667,-3.006166667,6.626833333,36.30016667,-2.117666667,24.8925,32.01933333,36.90516667,36.29966667,0.234,0.075,2.502046933,4.842487045,5.745421746,2.077986437,1.170878093,7.504,-2.256666667,-9.760666667
Non-Guttural,26.541,4.709333333,11.35183333,17.68466667,4.9755,-3.115166667,7.064666667,34.7455,-1.841666667,23.90666667,32.8345,38.26216667,37.5275,0.588166667,0.063333333,2.839515839,4.912454252,5.395258892,2.117003082,1.108004803,6.332833333,-6.376333333,-12.70916667
Non-Guttural,23.95566667,5.463833333,9.6675,21.2505,7.528666667,-1.852333333,8.969333333,35.16133333,-6.13,16.80366667,26.95816667,33.63,33.54133333,0.333,0.056833333,2.985569259,4.512571367,5.857451687,1.99240752,1.020396135,11.58283333,-2.139,-13.72183333
Non-Guttural,26.66633333,4.984833333,13.144,18.26116667,6.928333333,-0.937833333,6.761166667,32.24933333,-0.625,28.473,35.903,41.638,41.66166667,0,0.066833333,2.782876497,5.122410252,5.401387766,2.011625193,1.064260714,5.117333333,-6.215833333,-11.33316667
Non-Guttural,27.9935,5.713,12.82783333,19.188,4.357833333,-0.847833333,5.885833333,34.43633333,-1.162,28.16,37.346,42.18433333,40.074,0.329333333,0.063166667,2.734362763,5.170374188,5.478163357,1.808025357,1.046083788,6.36,-8.469833333,-14.82983333
Non-Guttural,24.7165,3.642,12.34133333,21.52733333,4.9985,-0.9185,6.307666667,35.52166667,-1.5045,22.9855,32.42216667,37.15066667,34.84616667,0.3765,0.063166667,2.689801747,5.245605748,5.592405163,1.806786208,1.00298456,9.186,-7.343,-16.529
Guttural,24.432,14.73066667,9.838666667,15.9955,-11.32016667,-2.323333333,5.856666667,38.44183333,-7.817333333,18.20083333,25.37866667,31.84116667,27.90416667,0.1545,0.0795,2.761263407,4.001784382,7.186717457,0.910642377,1.241148719,6.156166667,-21.159,-27.31516667
Guttural,24.87883333,6.594333333,14.81466667,20.209,-12.519,-3.209,10.42766667,40.96416667,-10.571,19.45516667,27.4025,33.54766667,29.7845,0.353833333,0.071333333,2.987722556,3.676326257,7.446882036,0.802811542,1.11254967,5.394666667,-27.33316667,-32.72783333
Guttural,23.34416667,5.670666667,10.89,19.541,-9.399166667,-3.052166667,9.315,40.46966667,-10.54283333,18.6615,26.88033333,34.09316667,31.41016667,0.426666667,0.0585,3.054896547,3.615603296,7.442604498,0.777007652,1.070565138,8.651166667,-20.28883333,-28.94
Guttural,25.031,7.547833333,9.411166667,18.24933333,-8.499,-2.962166667,9.617333333,39.89383333,-8.393,25.90716667,32.93,38.73233333,34.9995,0,0.073833333,2.384163696,4.575309334,7.04583261,0.873633773,1.10081529,8.838,-17.90983333,-26.74783333
Guttural,24.63283333,7.801833333,10.38966667,18.3075,-3.549666667,-2.989666667,8.5325,39.21216667,-6.672833333,22.6305,30.72933333,36.769,33.44266667,0,0.067333333,2.440726733,4.729133876,6.776017288,0.960608098,1.089654115,7.917833333,-13.9395,-21.85733333
Guttural,25.78133333,4.463,9.071166667,17.76983333,0.143,-0.543166667,6.345333333,40.261,-6.115833333,28.1155,37.53283333,42.30366667,39.39983333,0.051166667,0.061666667,2.439853668,4.747153457,6.595829878,1.125331092,1.028370223,8.698666667,-8.928166667,-17.62683333
Non-Guttural,25.54133333,7.29,6.780666667,12.424,1.767,-5.7675,8.029,39.94166667,-5.919833333,27.66,37.1665,42.29233333,41.411,0.025,0.077833333,2.326749134,3.838377821,6.676385531,2.058755753,1.132232943,5.643833333,-5.013166667,-10.657
Non-Guttural,27.33916667,6.197833333,8.701333333,10.02033333,2.154333333,-4.716,7.525666667,40.458,-5.383666667,29.30533333,38.904,44.345,44.058,0.118166667,0.063333333,2.337616524,3.805110172,6.681144692,2.123605615,1.119073894,1.319333333,-6.546833333,-7.866166667
Non-Guttural,24.67366667,5.048666667,11.36366667,14.7835,4.1005,-3.062666667,7.578333333,37.53416667,-5.38,23.84116667,33.46883333,37.97433333,37.394,0.365333333,0.057333333,2.767934132,3.390827163,6.647181799,2.123566237,1.080934875,3.419666667,-7.263,-10.68266667
Non-Guttural,29.24216667,8.006166667,10.01216667,16.72833333,3.632,-3.1935,7.4755,38.89366667,-3.814833333,30.92733333,40.30266667,45.36866667,45.27233333,0.041166667,0.067666667,2.567027318,4.024049904,6.305872301,2.121117495,1.086470391,6.716166667,-6.38,-13.09616667
Non-Guttural,29.19666667,5.913333333,9.984,18.76983333,8.563833333,-1.776833333,5.565,35.10433333,-0.031666667,32.5475,41.72366667,48.02383333,48.529,0,0.067166667,2.582214264,4.029839915,6.236232783,2.24630654,1.05389148,8.786166667,-1.419833333,-10.206
Non-Guttural,27.565,4.373166667,13.13,16.93266667,9.411,-0.776166667,7.540666667,35.4675,-1.902833333,28.72266667,39.41333333,44.7305,44.86166667,0.3745,0.059833333,2.78349029,3.783549379,6.26397592,2.21996021,0.992820176,3.802833333,-3.719,-7.521833333
Non-Guttural,23.90683333,9.0285,8.8545,14.356,4.149666667,-4.253833333,7.335333333,40.15683333,-5.909,24.25966667,32.90916667,37.882,37.5055,0.252333333,0.068,2.461469743,3.462975864,6.924961424,2.056523185,1.114304902,5.5015,-4.705166667,-10.20666667
Non-Guttural,21.9765,7.788666667,9.060333333,15.1735,5.204333333,-3.138666667,8.417333333,39.48266667,-8.019333333,20.77683333,30.3125,35.26766667,35.31966667,0.329666667,0.063833333,2.422316022,3.360773873,7.040677966,2.104156417,1.074181624,6.113333333,-3.855666667,-9.969
Non-Guttural,22.548,5.600166667,11.03033333,13.218,5.301666667,-2.028,7.3305,40.4205,-7.5905,16.6955,27.74866667,34.81366667,35.4425,0.186666667,0.065333333,2.551667462,3.189760932,7.27321679,1.874117052,1.060164691,2.187166667,-5.729,-7.916166667
Non-Guttural,26.47433333,8.424166667,10.60466667,16.8795,6.6525,-3.671833333,6.2555,30.644,1.082,27.679,34.623,37.61883333,36.717,0.440333333,0.069166667,2.538056713,5.176229456,5.225483094,2.31670762,1.145734241,6.274833333,-3.951833333,-10.22666667
Non-Guttural,24.31216667,6.381333333,11.55766667,19.3395,10.51466667,-1.505833333,7.674666667,30.884,-2.138166667,20.57266667,28.02,33.05283333,33.85233333,0.467833333,0.057333333,2.965843187,4.68213022,5.430461513,2.10254672,1.074391215,7.782,-1.042833333,-8.824833333
Non-Guttural,22.6295,5.1645,11.999,21.93066667,12.04483333,-0.889,7.0915,29.8055,0.254833333,18.42266667,26.5245,31.198,32.39433333,0.449333333,0.059666667,2.941480741,4.779389298,5.288924514,2.209145385,1.055179204,9.931333333,0.0455,-9.885833333
Guttural,27.25283333,8.045,15.2705,18.1255,-6.345,-2.180833333,8.794,37.1515,-7.079666667,25.75183333,33.15966667,40.29666667,37.272,0.24,0.073833333,2.80747942,3.924079351,7.300723531,0.954942843,1.104322003,2.8555,-21.61533333,-24.47083333
Guttural,27.58633333,5.666333333,14.30983333,20.68683333,-3.823166667,-0.629,8.664166667,34.30283333,-7.596,26.841,35.174,42.306,39.83916667,0.3085,0.055833333,2.974412473,4.148314748,6.87277984,1.162867753,1.053901131,6.377166667,-18.13283333,-24.51
Guttural,27.05033333,7.960333333,11.655,21.68316667,-2.760333333,0.4175,8.132333333,32.51883333,-7.193166667,25.933,34.40816667,40.66083333,37.42383333,0.4065,0.058,3.091967349,4.437519346,6.474260544,1.243819767,1.028189913,10.02833333,-14.4155,-24.44383333
Non-Guttural,26.574,3.860333333,12.3675,18.93516667,8.448333333,-3.841166667,6.477666667,34.8855,0.661833333,27.061,35.54016667,41.27166667,41.583,0.683833333,0.061333333,2.651171154,4.594987317,5.660382829,2.171851802,1.118879975,6.567833333,-3.919,-10.48683333
Non-Guttural,26.37383333,3.078166667,10.83716667,18.531,7.170833333,-3.068,5.92,35.85766667,-1.563,27.81316667,39.17133333,45.18233333,45.01833333,0.677,0.052166667,2.799008938,4.325039228,5.856431298,2.294104618,1.049462684,7.693833333,-3.6665,-11.36033333
Non-Guttural,24.28133333,3.012833333,11.28083333,20.74066667,7.536833333,-2.4395,8.428,35.29866667,-3.338,22.44883333,32.184,36.18866667,35.495,0.537,0.0565,2.892254917,4.657449502,5.524711012,2.104303338,1.02795126,9.4605,-3.743833333,-13.20433333
Non-Guttural,28.07583333,4.469666667,12.42633333,19.959,7.630833333,-2.013833333,7.384,34.77666667,-2.359166667,32.32066667,40.41333333,44.574,43.47033333,0,0.067666667,2.706163561,4.925287888,5.447451735,2.018781583,1.064141403,7.532833333,-4.7955,-12.32833333
Non-Guttural,27.45566667,4.830833333,11.55633333,19.52533333,5.117166667,-2.185833333,8.554166667,35.658,-4.9945,29.19566667,38.12766667,41.50516667,39.24766667,0.53,0.058,2.978014983,4.65967288,5.575020132,1.86562598,1.04284824,7.969166667,-6.438833333,-14.408
Non-Guttural,26.492,3.928666667,12.4075,21.7155,9.161833333,0.216333333,7.1685,30.666,-1.255833333,26.3615,35.22683333,38.31933333,36.8075,0.440166667,0.0545,2.917619022,5.522427133,4.892168549,1.941130857,1.003730695,9.308,-3.246,-12.554
Guttural,26.59033333,5.635,12.24033333,18.192,-8.439166667,-3.961166667,9.710666667,40.93916667,-9.1885,24.07766667,32.6305,38.74483333,34.714,0.376166667,0.066833333,2.69353237,4.002796211,7.204404352,1.02843514,1.138791427,5.951833333,-20.6795,-26.63133333
Guttural,26.82283333,7.020666667,11.21683333,16.75583333,-13.94266667,-4.028166667,8.677833333,42.45366667,-9.796,22.4195,31.79466667,38.96516667,35.2245,0.2675,0.076333333,2.631460571,3.65047631,7.742846268,0.847940743,1.158671689,5.538666667,-25.1595,-30.69816667
Guttural,25.8175,3.707333333,11.53983333,22.18666667,-5.526166667,-4.141333333,9.653666667,41.00383333,-7.9025,24.931,34.35866667,39.954,35.98383333,0.243166667,0.068833333,2.653805966,4.71844785,6.422273786,1.19734578,1.073364903,10.647,-17.066,-27.713
Guttural,25.63966667,5.199666667,14.50983333,21.14233333,-6.6925,-2.373166667,10.8025,38.50433333,-10.15316667,24.8085,33.35,38.81266667,34.92033333,0.493833333,0.073,2.92050035,4.002428374,7.163097802,1.009399745,1.060721115,6.633166667,-21.20166667,-27.83483333
Guttural,27.405,4.955666667,12.37716667,21.67383333,-10.27533333,-0.891666667,8.501833333,37.46916667,-8.952666667,29.397,39.10016667,45.6135,41.10066667,0.427166667,0.0585,2.993823419,3.927704529,7.258980216,0.835912625,1.03374085,9.2965,-22.65266667,-31.94916667
Guttural,24.10483333,3.755833333,14.32983333,23.0115,-13.78166667,-0.315,11.83416667,38.32016667,-12.11733333,25.0545,33.82133333,39.36283333,33.88733333,0.481666667,0.062166667,2.955645997,3.874443031,7.589583345,0.706034568,0.978033639,8.682,-28.11133333,-36.79333333
Non-Guttural,24.76,4.103833333,14.86333333,19.551,3.705666667,-1.5505,8.093166667,39.557,-7.973333333,24.7805,34.24616667,41.091,39.14216667,0.0985,0.053666667,2.882730232,3.400623737,7.271084969,1.325434908,1.08617846,4.687833333,-11.15766667,-15.8455
Non-Guttural,23.46633333,2.912166667,13.39666667,20.00816667,9.224333333,-1.9275,8.8425,36.96816667,-6.090333333,25.35933333,34.55666667,41.2995,40.88566667,0.644833333,0.0455,2.9477734,3.318770068,6.786218283,1.701869592,1.087976984,6.611666667,-4.172333333,-10.784
Non-Guttural,21.59766667,5.204333333,9.743666667,17.35133333,9.034,-1.655166667,9.405333333,36.85983333,-9.195833333,18.71433333,28.538,35.22316667,35.76916667,0.376666667,0.048833333,3.054937569,3.082812669,6.90429567,1.807579757,1.024547843,7.607666667,-0.709666667,-8.317333333
Non-Guttural,26.00816667,4.865166667,14.28566667,17.11933333,4.876833333,-2.4225,9.692333333,41.3675,-10.70666667,27.25916667,36.75316667,44.35783333,43.549,0.023666667,0.057666667,2.85887173,2.989296226,7.489638977,1.506077597,1.077814051,2.833333333,-9.408666667,-12.242
Non-Guttural,28.677,8.2605,10.1745,20.8575,0.562333333,-0.837333333,10.53883333,39.066,-15.41733333,34.282,44.20916667,50.529,47.90466667,0.481333333,0.059166667,3.194876231,2.714041424,7.756698125,1.360599205,1.026038418,10.68283333,-9.611833333,-20.29466667
Non-Guttural,26.31983333,5.7115,12.7715,20.09816667,9.439333333,1.5465,10.90983333,39.11066667,-11.56283333,32.25016667,40.5865,46.70066667,45.06233333,0.511166667,0.060666667,3.050118708,3.060661042,7.278333466,1.598333142,0.970184256,7.326333333,-3.332333333,-10.65866667
Guttural,22.915,9.041166667,16.315,20.97633333,17.05233333,1.264,9.6345,29.99966667,-2.998666667,20.028,25.71783333,32.30683333,34.42283333,0.536166667,0.070833333,3.306091013,2.780696853,5.950615356,2.773878858,1.199482953,4.661333333,0.737333333,-3.924
Guttural,24.41566667,4.939666667,14.63966667,16.47983333,9.2915,-1.855166667,7.584,36.28016667,-3.314166667,22.80083333,32.228,38.73833333,40.0505,0.689666667,0.0585,2.984154849,2.804562052,6.826779615,2.241963612,1.115861162,1.8405,-5.347833333,-7.188333333
Guttural,20.85033333,6.8465,9.426666667,18.166,14.77533333,-0.047833333,8.228666667,27.662,-0.290333333,14.14766667,24.097,33.17616667,35.96016667,0.275833333,0.0365,3.145348445,3.082827036,5.936338135,2.794921713,1.020405714,8.739333333,5.348833333,-3.3905
Guttural,26.51383333,5.141833333,16.21066667,19.563,9.163833333,-0.359333333,8.672,36.96083333,-5.288833333,33.44166667,39.245,44.58666667,43.83416667,0.473166667,0.0745,3.088673168,2.815227682,7.088675843,1.836700578,1.087592468,3.352333333,-7.046833333,-10.39916667
Guttural,28.487,8.1295,13.90966667,18.695,4.915,-0.709833333,9.9185,37.84016667,-11.35616667,34.38116667,41.386,47.5445,47.25366667,0.7145,0.068,3.403953968,2.455356545,7.388520251,1.700053902,1.066033464,4.785333333,-8.994666667,-13.78
Guttural,27.49633333,11.0955,11.066,18.96516667,2.623166667,0.574666667,2.815833333,37.41266667,-6.311,28.545,34.9025,40.8715,40.00416667,0.402166667,0.040833333,3.574284116,2.327568305,7.481739121,1.592124555,1.027078212,7.899166667,-8.443,-16.34216667
Non-Guttural,26.01033333,5.4825,12.95366667,15.83233333,10.9295,-0.790333333,6.658833333,36.54433333,-2.2815,31.86466667,39.693,45.607,45.861,0,0.069166667,2.589811886,3.655200875,6.503641292,2.152325458,1.112763615,2.879,-2.024166667,-4.903166667
Non-Guttural,21.2945,4.366833333,12.71433333,19.271,9.822666667,-0.9575,7.114666667,33.85966667,-2.805166667,18.16633333,26.62416667,33.2265,34.77483333,0.588833333,0.0455,2.862754637,3.650002903,6.263898745,2.187916645,1.06797833,6.556833333,-2.891333333,-9.448166667
Non-Guttural,24.55833333,4.6165,11.43416667,18.65116667,8.548166667,-1.925166667,8.9785,34.99366667,-5.126166667,25.37833333,35.33466667,40.74883333,41.0655,0.492,0.042666667,2.972982847,3.270902268,6.540801789,2.199167428,1.026010603,7.216666667,-2.886166667,-10.10283333
Non-Guttural,24.81783333,4.556166667,10.78483333,16.79,7.157,-4.448166667,5.717666667,36.72783333,0.933666667,28.686,36.29933333,40.684,40.68916667,0.569166667,0.067,2.469124708,4.777111794,5.501935817,2.129269367,1.100703076,6.005166667,-3.627833333,-9.633
Non-Guttural,26.309,4.567166667,11.69783333,16.12883333,7.021166667,-3.997333333,8.119333333,34.62633333,-1.524833333,28.85383333,35.69266667,39.21616667,38.8565,0.632666667,0.053,2.937051178,4.750506911,5.16552946,2.231496143,1.065560106,4.431,-4.676833333,-9.107833333
Non-Guttural,25.04216667,3.5805,10.637,17.85533333,12.30783333,-1.774666667,8.142333333,30.86116667,0.723333333,25.0045,33.75816667,37.72683333,38.3045,0.521,0.054333333,3.00627438,4.869740883,4.844150764,2.309020498,1.014857824,7.218333333,1.671,-5.547333333
